city,zip_code,region,municipality
Ada,24430,Severnobanatski okrug,Opština Ada
Adaševci,22244,Sremski okrug,Opština Šid
Adorjan,24425,Severnobanatski okrug,Opština Kanjiža
Adrani,36203,Raški okrug,Opština Kraljevo
Azanja,11423,Podunavski okrug,Opština Smederevska Palanka
Aleksa Šantić,25212,Zapadnobački okrug,Opština Sombor
Aleksandrovac,12370,Braničevski okrug,Opština Žabari
Aleksandrovac,37230,Rasinski okrug,Opština Aleksandrovac
Aleksandrovo,23217,Srednjobanatski okrug,Opština Nova Crnja
Aleksinac,18220,Nišavski okrug,Opština Aleksinac
Aleksinački Rudnik,18226,Nišavski okrug,Opština Aleksinac
Alibunar,26310,Južnobanatski okrug,Opština Alibunar
Aljinovići,31307,Zlatiborski okrug,Opština Prijepolje
Apatin,25260,Zapadnobački okrug,Opština Apatin
Aradac,23207,Srednjobanatski okrug,Opština Zrenjanin
Aranđelovac,34300,Šumadijski okrug,Opština Aranđelovac
Arilje,31230,Zlatiborski okrug,Opština Arilje
Ašanja,22418,Sremski okrug,Opština Pećinci
Babušnica,18330,Pirotski okrug,Opština Babušnica
Bavanište,26222,Južnobanatski okrug,Opština Kovin
Bagrdan,35204,Pomoravski okrug,Opština Jagodina
Badnjevac,34226,Šumadijski okrug,Opština Batočina
Badovinci,15358,Mačvanski okrug,Opština Bogatić
Bajina Bašta,31250,Zlatiborski okrug,Opština Bajina Bašta
Bajmok,24210,Severnobački okrug,Opština Subotica
Bajša,24331,Severnobački okrug,Opština Bačka Topola
Balajnac,18257,Nišavski okrug,Opština Merošina
Baljevac,36344,Raški okrug,Opština Raška
Banatska Dubica,23251,Srednjobanatski okrug,Opština Sečanj
Banatska Palanka,26324,Južnobanatski okrug,Opština Bela Crkva
Banatska Subotica,26327,Južnobanatski okrug,Opština Bela Crkva
Banatska Topola,23315,Severnobanatski okrug,Opština Kikinda
Banatski Brestovac,26234,Južnobanatski okrug,Opština Pančevo
Banatski Dvor,23213,Srednjobanatski okrug,Opština Žitište
Banatski Despotovac,23242,Srednjobanatski okrug,Opština Zrenjanin
Banatski Karlovac,26320,Južnobanatski okrug,Opština Alibunar
Banatsko Aranđelovo,23332,Severnobanatski okrug,Opština Novi Kneževac
Banatsko Veliko Selo,23312,Severnobanatski okrug,Opština Kikinda
Banatsko Karađorđevo,23216,Srednjobanatski okrug,Opština Žitište
Banatsko Novo Selo,26314,Južnobanatski okrug,Opština Pančevo
Banovo Polje,15362,Mačvanski okrug,Opština Bogatić
Banovci-Dunav,22303,Sremski okrug,Opština Stara Pazova
Banoštor,21312,Južnobački okrug,Opština Beočin
Banja,34304,Šumadijski okrug,Opština Aranđelovac
Banja,31337,Zlatiborski okrug,Opština Priboj
Banja Koviljača,15316,Mačvanski okrug,Opština Loznica
Banjani,14214,Kolubarski okrug,Opština Ub
Banjska,38216,Kosovskomitrovački okrug,Opština Zvečan
Barajevo,11460,Grad Beograd,Opština Barajevo
Baranda,26205,Južnobanatski okrug,Opština Opovo
Barbatovac,18426,Toplički okrug,Opština Blace
Bare,12227,Braničevski okrug,Opština Požarevac
Bare,34205,Šumadijski okrug,Opština Knić
Bare,36315,Zlatiborski okrug,Opština Sjenica
Barice,26367,Južnobanatski okrug,Opština Plandište
Barič,11504,Grad Beograd,Opština Obrenovac
Barlovo,18432,Toplički okrug,Opština Kuršumlija
Baroševac,11565,Grad Beograd,Opština Lazarevac
Batočina,34227,Šumadijski okrug,Opština Batočina
Batrovci,22251,Sremski okrug,Opština Šid
Batuse,38210,Kosovski okrug,Opština Kosovo Polje
Bač,21420,Južnobački okrug,Opština Bač
Bačevci,31258,Zlatiborski okrug,Opština Bajina Bašta
Bačina,37265,Rasinski okrug,Opština Varvarin
Bačinci,22225,Sremski okrug,Opština Šid
Bačka Palanka,21400,Južnobački okrug,Opština Bačka Palanka
Bačka Topola,24300,Severnobački okrug,Opština Bačka Topola
Bački Breg,25275,Zapadnobački okrug,Opština Sombor
Bački Brestovac,25242,Zapadnobački okrug,Opština Odžaci
Bački Vinogradi,24415,Severnobački okrug,Opština Subotica
Bački Gračac,25252,Zapadnobački okrug,Opština Odžaci
Bački Jarak,21234,Južnobački okrug,Opština Temerin
Bački Monoštor,25272,Zapadnobački okrug,Opština Sombor
Bački Petrovac,21470,Južnobački okrug,Opština Bački Petrovac
Bački Sokolac,24343,Severnobački okrug,Opština Bačka Topola
Bačko Gradište,21217,Južnobački okrug,Opština Bečej
Bačko Dobro Polje,21465,Južnobački okrug,Opština Vrbas
Bačko Novo Selo,21429,Južnobački okrug,Opština Bač
Bačko Petrovo Selo,21226,Južnobački okrug,Opština Bečej
Bašaid,23316,Severnobanatski okrug,Opština Kikinda
Begeč,21411,Južnobački okrug,Opština Novi Sad
Bezdan,25270,Zapadnobački okrug,Opština Sombor
Bela Voda,37253,Rasinski okrug,Opština Kruševac
Bela Zemlja,31311,Zlatiborski okrug,Opština Užice
Bela Palanka,18310,Pirotski okrug,Opština Bela Palanka
Bela Crkva,15313,Mačvanski okrug,Opština Krupanj
Bela Crkva,26340,Južnobanatski okrug,Opština Bela Crkva
Belanovica,14246,Kolubarski okrug,Opština Ljig
Bele Vode,32259,Moravički okrug,Opština Ivanjica
Belegiš,22306,Sremski okrug,Opština Stara Pazova
Beli Potok,11223,Grad Beograd,Opština Voždovac
Beli Potok,19366,Zaječarski okrug,Opština Knjaževac
Belo Blato,23205,Srednjobanatski okrug,Opština Zrenjanin
Beloljin,18424,Toplički okrug,Opština Prokuplje
Belosavci,34312,Šumadijski okrug,Opština Topola
Belotinac,18411,Nišavski okrug,Opština Doljevac
Beloševac,34208,Šumadijski okrug,Opština Kragujevac
Belušić,35263,Pomoravski okrug,Opština Rekovac
Beljina,11461,Grad Beograd,Opština Barajevo
Beočin,21300,Južnobački okrug,Opština Beočin
Berkasovo,22242,Sremski okrug,Opština Šid
Bečej,21220,Južnobački okrug,Opština Bečej
Bešenovo,22212,Sremski okrug,Opština Sremska Mitrovica
Beška,22324,Sremski okrug,Opština Inđija
Bigrenica,35238,Pomoravski okrug,Opština Ćuprija
Bikić Do,22254,Sremski okrug,Opština Šid
Bikovo,24206,Severnobački okrug,Opština Subotica
Biljača,17522,Pčinjski okrug,Opština Bujanovac
Bingula,22253,Sremski okrug,Opština Šid
Bioska,31241,Zlatiborski okrug,Opština Užice
Bistar,17546,Pčinjski okrug,Opština Bosilegrad
Bistrica,31325,Zlatiborski okrug,Opština Nova Varoš
Blaževo,37226,Rasinski okrug,Opština Brus
Blace,18420,Toplički okrug,Opština Blace
Bobovo,35217,Pomoravski okrug,Opština Svilajnac
Bogaraš,24408,Severnobanatski okrug,Opština Senta
Bogatić,15350,Mačvanski okrug,Opština Bogatić
Bogovađa,14225,Kolubarski okrug,Opština Lajkovac
Bogovina,19372,Zaječarski okrug,Opština Boljevac
Bogojevo,25245,Zapadnobački okrug,Opština Odžaci
Bogojevce,16254,Jablanički okrug,Opština Leskovac
Bogutovac,36341,Raški okrug,Opština Kraljevo
Bođani,21427,Južnobački okrug,Opština Bač
Boževac,12313,Braničevski okrug,Opština Malo Crniće
Božetići,31322,Zlatiborski okrug,Opština Nova Varoš
Božica,17537,Pčinjski okrug,Opština Surdulica
Bojnik,16205,Jablanički okrug,Opština Bojnik
Boka,23252,Srednjobanatski okrug,Opština Sečanj
Boljevac,19370,Zaječarski okrug,Opština Boljevac
Boljkovci,32312,Moravički okrug,Opština Gornji Milanovac
Bor,19210,Borski okrug,Opština Bor
Borski Brestovac,19229,Borski okrug,Opština Bor
Bosilegrad,17540,Pčinjski okrug,Opština Bosilegrad
Bosut,22217,Sremski okrug,Opština Sremska Mitrovica
Botoš,23243,Srednjobanatski okrug,Opština Zrenjanin
Bočar,23274,Srednjobanatski okrug,Opština Novi Bečej
Bošnjane,37262,Rasinski okrug,Opština Varvarin
Bošnjace,16232,Jablanički okrug,Opština Lebane
Bradarac,12206,Braničevski okrug,Opština Požarevac
Braničevo,12222,Braničevski okrug,Opština Golubac
Brankovina,14201,Kolubarski okrug,Opština Valjevo
Bratljevo,32256,Moravički okrug,Opština Ivanjica
Braćevac,19315,Borski okrug,Opština Negotin
Brvenik,36346,Raški okrug,Opština Raška
Brgule,14212,Kolubarski okrug,Opština Ub
Brđani,32303,Moravički okrug,Opština Gornji Milanovac
Brežđe,14244,Kolubarski okrug,Opština Mionica
Brezjak,15309,Mačvanski okrug,Opština Loznica
Brezna,32307,Moravički okrug,Opština Gornji Milanovac
Brezova,32253,Moravički okrug,Opština Ivanjica
Brezovica,38157,Kosovski okrug,Opština Štrpce
Brekovo,31234,Zlatiborski okrug,Opština Arilje
Bresnica,32213,Moravički okrug,Opština Čačak
Brestovac,16253,Jablanički okrug,Opština Leskovac
Brestovačka Banja,19216,Borski okrug,Opština Bor
Brza Palanka,19323,Borski okrug,Opština Kladovo
Brzi Brod,18116,Nišavski okrug,Opština Medijana
Brzan,34228,Šumadijski okrug,Opština Batočina
Brzeće,37225,Rasinski okrug,Opština Brus
Brodarevo,31305,Zlatiborski okrug,Opština Prijepolje
Brus,37220,Rasinski okrug,Opština Brus
Brusnik,19313,Zaječarski okrug,Opština Zaječar
Budisava,21242,Južnobački okrug,Opština Novi Sad
Buđanovci,22421,Sremski okrug,Opština Ruma
Bujanovac,17520,Pčinjski okrug,Opština Bujanovac
Bukovac,21209,Južnobački okrug,Opština Novi Sad
Bukovik,34301,Šumadijski okrug,Opština Aranđelovac
Bukovica,32251,Moravički okrug,Opština Ivanjica
Bukorovac,34217,Šumadijski okrug,Opština Kragujevac
Bunar,35273,Pomoravski okrug,Opština Jagodina
Burdimo,18368,Nišavski okrug,Opština Svrljig
Burovac,12307,Braničevski okrug,Opština Petrovac Na Mlavi
Busilovac,35249,Pomoravski okrug,Opština Paraćin
Bučje,19369,Zaječarski okrug,Opština Knjaževac
Vajska,21426,Južnobački okrug,Opština Bač
Valjevo,14000,Kolubarski okrug,Opština Valjevo
Varvarin,37260,Rasinski okrug,Opština Varvarin
Varda,31263,Zlatiborski okrug,Opština Kosjerić
Varna,15232,Mačvanski okrug,Opština Šabac
Varoš,18363,Nišavski okrug,Opština Svrljig
Vasilj,19367,Zaječarski okrug,Opština Knjaževac
Vatin,26337,Južnobanatski okrug,Opština Vršac
Vašica,22241,Sremski okrug,Opština Šid
Velebit,24428,Severnobanatski okrug,Opština Kanjiža
Velesnica,19328,Borski okrug,Opština Kladovo
Velika Vrbnica,37233,Rasinski okrug,Opština Aleksandrovac
Velika Grabovnica,16221,Jablanički okrug,Opština Leskovac
Velika Greda,26366,Južnobanatski okrug,Opština Plandište
Velika Drenova,37245,Rasinski okrug,Opština Trstenik
Velika Ivanča,11414,Grad Beograd,Opština Mladenovac
Velika Jasikova,19235,Zaječarski okrug,Opština Zaječar
Velika Krsna,11408,Grad Beograd,Opština Mladenovac
Velika Lomnica,37209,Rasinski okrug,Opština Kruševac
Velika Moštanica,11262,Grad Beograd,Opština Čukarica
Velika Plana,11320,Podunavski okrug,Opština Velika Plana
Velika Plana,18403,Toplički okrug,Opština Prokuplje
Velika Reka,15322,Mačvanski okrug,Opština Mali Zvornik
Veliki Borak,11462,Grad Beograd,Opština Barajevo
Veliki Gaj,26365,Južnobanatski okrug,Opština Plandište
Veliki Izvor,19206,Zaječarski okrug,Opština Zaječar
Veliki Popović,35223,Pomoravski okrug,Opština Despotovac
Veliki Radinci,22211,Sremski okrug,Opština Sremska Mitrovica
Veliki Trnovac,17528,Pčinjski okrug,Opština Bujanovac
Veliki Crljeni,11563,Grad Beograd,Opština Lazarevac
Veliki Šiljegovac,37204,Rasinski okrug,Opština Kruševac
Veliko Bonjince,18215,Pirotski okrug,Opština Babušnica
Veliko Gradište,12220,Braničevski okrug,Opština Veliko Gradište
Veliko Laole,12306,Braničevski okrug,Opština Petrovac Na Mlavi
Veliko Orašje,11323,Podunavski okrug,Opština Velika Plana
Veliko Središte,26334,Južnobanatski okrug,Opština Vršac
Venčane,34306,Šumadijski okrug,Opština Aranđelovac
Veternik,21203,Južnobački okrug,Opština Novi Sad
Vilovo,21246,Južnobački okrug,Opština Titel
Vina,19368,Zaječarski okrug,Opština Knjaževac
Vionica,32254,Moravički okrug,Opština Ivanjica
Visočka Ržana,18306,Pirotski okrug,Opština Pirot
Vitanovac,36206,Raški okrug,Opština Kraljevo
Vitkovac,36207,Raški okrug,Opština Kraljevo
Vitoševac,37213,Nišavski okrug,Opština Ražanj
Viča,32233,Moravički okrug,Opština Lučani
Višnjevac,24222,Severnobački okrug,Opština Subotica
Višnjićevo,22246,Sremski okrug,Opština Šid
Vladimirovac,26315,Južnobanatski okrug,Opština Alibunar
Vladimirci,15225,Mačvanski okrug,Opština Vladimirci
Vladičin Han,17510,Pčinjski okrug,Opština Vladičin Han
Vlajkovac,26332,Južnobanatski okrug,Opština Vršac
Vlase,17507,Pčinjski okrug,Opština Vranje
Vlasotince,16210,Jablanički okrug,Opština Vlasotince
Vlaška,11406,Grad Beograd,Opština Mladenovac
Voganj,22429,Sremski okrug,Opština Ruma
Vodanj,11328,Podunavski okrug,Opština Smederevo
Vojvoda Stepa,23219,Srednjobanatski okrug,Opština Nova Crnja
Vojvodinci,26338,Južnobanatski okrug,Opština Vršac
Vojka,22313,Sremski okrug,Opština Stara Pazova
Vojska,35208,Pomoravski okrug,Opština Svilajnac
Voluja,12256,Braničevski okrug,Opština Kučevo
Vražogrnac,19312,Zaječarski okrug,Opština Zaječar
Vranić,11427,Grad Beograd,Opština Barajevo
Vranovo,11329,Podunavski okrug,Opština Smederevo
Vranje,17501,Pčinjski okrug,Opština Vranje
Vranjska Banja,17541,Pčinjski okrug,Opština Vranje
Vratarnica,19344,Zaječarski okrug,Opština Zaječar
Vraćevšnica,32315,Moravički okrug,Opština Gornji Milanovac
Vračev Gaj,26348,Južnobanatski okrug,Opština Bela Crkva
Vrba,36214,Raški okrug,Opština Kraljevo
Vrbas,21460,Južnobački okrug,Opština Vrbas
Vrbica,23329,Severnobanatski okrug,Opština Čoka
Vrbovac,38263,Kosovskopomoravski okrug,Opština Vitina
Vrdnik,22408,Sremski okrug,Opština Irig
Vreoci,11560,Grad Beograd,Opština Lazarevac
Vrmdža,18236,Zaječarski okrug,Opština Sokobanja
Vrnjačka Banja,36210,Raški okrug,Opština Vrnjačka Banja
Vrnjci,36217,Raški okrug,Opština Vrnjačka Banja
Vrćenovica,18221,Nišavski okrug,Opština Aleksinac
Vrhpolje,15324,Mačvanski okrug,Opština Ljubovija
Vršac,26300,Južnobanatski okrug,Opština Vršac
Vukovac,12318,Braničevski okrug,Opština Žagubica
Vučje,16203,Jablanički okrug,Opština Leskovac
Gaj,26223,Južnobanatski okrug,Opština Kovin
Gajdobra,21432,Južnobački okrug,Opština Bačka Palanka
Gakovo,25282,Zapadnobački okrug,Opština Sombor
Gamzigradska Banja,19228,Zaječarski okrug,Opština Zaječar
Gardinovci,21247,Južnobački okrug,Opština Titel
Gadžin Han,18240,Nišavski okrug,Opština Gadžin Han
Gibarac,22258,Sremski okrug,Opština Šid
Glavinci,35261,Pomoravski okrug,Opština Jagodina
Globoder,37251,Rasinski okrug,Opština Kruševac
Glogovac,35222,Pomoravski okrug,Opština Jagodina
Glogonj,26202,Južnobanatski okrug,Opština Pančevo
Gložan,21412,Južnobački okrug,Opština Bački Petrovac
Glušci,15356,Mačvanski okrug,Opština Bogatić
Gnjilan,18309,Pirotski okrug,Opština Pirot
Golobok,11316,Podunavski okrug,Opština Smederevska Palanka
Golubac,12223,Braničevski okrug,Opština Golubac
Golubinci,22308,Sremski okrug,Opština Stara Pazova
Goračići,32232,Moravički okrug,Opština Lučani
Gornja Dobrinja,31214,Zlatiborski okrug,Opština Požega
Gornja Draguša,18425,Toplički okrug,Opština Blace
Gornja Lisina,17538,Pčinjski okrug,Opština Bosilegrad
Gornja Sabanta,34206,Šumadijski okrug,Opština Kragujevac
Gornja Toplica,14243,Kolubarski okrug,Opština Mionica
Gornja Toponica,18202,Nišavski okrug,Opština Crveni Krst
Gornja Trepča,32215,Moravički okrug,Opština Čačak
Gornja Trnava,34324,Šumadijski okrug,Opština Topola
Gornje Dvorane,37206,Rasinski okrug,Opština Kruševac
Gornji Barbeš,18241,Nišavski okrug,Opština Gadžin Han
Gornji Breg,24406,Severnobanatski okrug,Opština Senta
Gornji Matejevac,18204,Nišavski okrug,Opština Pantelej
Gornji Milanovac,32300,Moravički okrug,Opština Gornji Milanovac
Gornji Stepoš,37221,Rasinski okrug,Opština Kruševac
Gornji Stupanj,37234,Rasinski okrug,Opština Aleksandrovac
Gospođinci,21237,Južnobački okrug,Opština Žabalj
Gostun,31308,Zlatiborski okrug,Opština Prijepolje
Grabovac,11508,Grad Beograd,Opština Obrenovac
Grabovica,19327,Borski okrug,Opština Kladovo
Grabovci,22423,Sremski okrug,Opština Ruma
Gradskovo,19205,Zaječarski okrug,Opština Zaječar
Gračanica,38205,Kosovski okrug,Opština Priština
Grgurevci,22213,Sremski okrug,Opština Sremska Mitrovica
Grdelica (varoš),16220,Jablanički okrug,Opština Leskovac
Grebenac,26347,Južnobanatski okrug,Opština Bela Crkva
Grlište,19342,Zaječarski okrug,Opština Zaječar
Grljan,19341,Zaječarski okrug,Opština Zaječar
Grošnica,34202,Šumadijski okrug,Opština Kragujevac
Gruža,34230,Šumadijski okrug,Opština Knić
Guberevac,16211,Jablanički okrug,Opština Leskovac
Guberevac,34232,Šumadijski okrug,Opština Knić
Gudurica,26335,Južnobanatski okrug,Opština Vršac
Gunaroš,24312,Severnobački okrug,Opština Bačka Topola
Guča (varošica),32230,Moravički okrug,Opština Lučani
Guševac,18208,Nišavski okrug,Opština Svrljig
Darosava,34305,Šumadijski okrug,Opština Aranđelovac
Debeljača,26214,Južnobanatski okrug,Opština Kovačica
Debrc,15214,Mačvanski okrug,Opština Vladimirci
Devojački Bunar,26316,Južnobanatski okrug,Opština Alibunar
Deževa,36305,Raški okrug,Opština Novi Pazar
Deliblato,26225,Južnobanatski okrug,Opština Kovin
Delimeđe,36307,Raški okrug,Opština Tutin
Deronje,25254,Zapadnobački okrug,Opština Odžaci
Desimirovac,34321,Šumadijski okrug,Opština Kragujevac
Despotovac,35213,Pomoravski okrug,Opština Despotovac
Despotovo,21468,Južnobački okrug,Opština Bačka Palanka
Deč,22441,Sremski okrug,Opština Pećinci
Divljaka,31236,Zlatiborski okrug,Opština Arilje
Divostin,34204,Šumadijski okrug,Opština Kragujevac
Divoš,22232,Sremski okrug,Opština Sremska Mitrovica
Divci,14222,Kolubarski okrug,Opština Valjevo
Divčibare,14204,Kolubarski okrug,Opština Valjevo
Dimitrovgrad,18320,Pirotski okrug,Opština Dimitrovgrad
Dobra,12224,Braničevski okrug,Opština Golubac
Dobri Do,18408,Toplički okrug,Opština Kuršumlija
Dobrinci,22412,Sremski okrug,Opština Ruma
Dobrić,15235,Mačvanski okrug,Opština Šabac
Dobrica,26354,Južnobanatski okrug,Opština Alibunar
Dolac (naselje),18314,Pirotski okrug,Opština Bela Palanka
Dolovo,26227,Južnobanatski okrug,Opština Pančevo
Doljevac,18410,Nišavski okrug,Opština Doljevac
Donja Bela Reka,19213,Borski okrug,Opština Bor
Donja Borina,15317,Mačvanski okrug,Opština Mali Zvornik
Donja Gušterica,38207,Kosovski okrug,Opština Lipljan
Donja Kamenica,19352,Zaječarski okrug,Opština Knjaževac
Donja Ljubata,17544,Pčinjski okrug,Opština Bosilegrad
Donja Mutnica,35255,Pomoravski okrug,Opština Paraćin
Donja Orovica,15323,Mačvanski okrug,Opština Ljubovija
Donja Rečica,18404,Toplički okrug,Opština Prokuplje
Donja Trnava,18421,Toplički okrug,Opština Prokuplje
Donja Šatornja,34314,Šumadijski okrug,Opština Topola
Donje Vidovo,35258,Pomoravski okrug,Opština Paraćin
Donje Zuniče,19345,Zaječarski okrug,Opština Knjaževac
Donje Međurovo,18254,Nišavski okrug,Opština Palilula (niš)
Donje Crnatovo,18414,Toplički okrug,Opština Žitorađa
Donje Crniljevo,15227,Mačvanski okrug,Opština Koceljeva
Donji Dušnik,18242,Nišavski okrug,Opština Gadžin Han
Donji Krčin,37258,Rasinski okrug,Opština Varvarin
Donji Milanovac,19220,Borski okrug,Opština Majdanpek
Donji Stajevac,17526,Pčinjski okrug,Opština Trgovište
Doroslovo,25243,Zapadnobački okrug,Opština Sombor
Draginac,15311,Mačvanski okrug,Opština Loznica
Draginje,15226,Mačvanski okrug,Opština Koceljeva
Draglica,31317,Zlatiborski okrug,Opština Nova Varoš
Dragobraća,34231,Šumadijski okrug,Opština Kragujevac
Dragovo,35265,Pomoravski okrug,Opština Rekovac
Dragolj,32316,Moravički okrug,Opština Gornji Milanovac
Dragocvet,35272,Pomoravski okrug,Opština Jagodina
Dragoševac,35262,Pomoravski okrug,Opština Jagodina
Draževac,11506,Grad Beograd,Opština Obrenovac
Draževac,18223,Nišavski okrug,Opština Aleksinac
Drajkovce,38239,Kosovski okrug,Opština Štrpce
Dračić,14203,Kolubarski okrug,Opština Valjevo
Drenovac,15212,Mačvanski okrug,Opština Šabac
Drenovac,35257,Pomoravski okrug,Opština Paraćin
Drugovac,11432,Podunavski okrug,Opština Smederevo
Dublje,15359,Mačvanski okrug,Opština Bogatić
Dubovac,26224,Južnobanatski okrug,Opština Kovin
Dubovo,18406,Toplički okrug,Opština Žitorađa
Duboka,12255,Braničevski okrug,Opština Kučevo
Duboka,35218,Pomoravski okrug,Opština Jagodina
Dubočane,19232,Zaječarski okrug,Opština Zaječar
Dubravica,12207,Braničevski okrug,Opština Požarevac
Duga Poljana,36312,Zlatiborski okrug,Opština Sjenica
Dugo Polje,18237,Zaječarski okrug,Opština Sokobanja
Dudovica,11561,Grad Beograd,Opština Lazarevac
Dupljaja,26328,Južnobanatski okrug,Opština Bela Crkva
Đala,23335,Severnobanatski okrug,Opština Novi Kneževac
Đunis,37202,Rasinski okrug,Opština Kruševac
Đurđevo,21239,Južnobački okrug,Opština Žabalj
Đurđin,24213,Severnobački okrug,Opština Subotica
Elemir,23208,Srednjobanatski okrug,Opština Zrenjanin
Erdevik,22230,Sremski okrug,Opština Šid
Erdeč,34207,Šumadijski okrug,Opština Kragujevac
Ečka,23203,Srednjobanatski okrug,Opština Zrenjanin
Žabalj,21230,Južnobački okrug,Opština Žabalj
Žabari,12374,Braničevski okrug,Opština Žabari
Žagubica,12320,Braničevski okrug,Opština Žagubica
Željuše,18325,Pirotski okrug,Opština Dimitrovgrad
Žirovnica,34229,Šumadijski okrug,Opština Batočina
Žitište,23210,Srednjobanatski okrug,Opština Žitište
Žitkovac,18210,Nišavski okrug,Opština Aleksinac
Žitni Potok,18407,Toplički okrug,Opština Prokuplje
Žitorađa,18412,Toplički okrug,Opština Žitorađa
Žiča,36221,Raški okrug,Opština Kraljevo
Žuč,18438,Toplički okrug,Opština Kuršumlija
Zablaće,32223,Moravički okrug,Opština Čačak
Zabojnica,34244,Šumadijski okrug,Opština Knić
Zabrežje,11505,Grad Beograd,Opština Obrenovac
Zavlaka,15312,Mačvanski okrug,Opština Krupanj
Zagajica,26344,Južnobanatski okrug,Opština Vršac
Zajača,15315,Mačvanski okrug,Opština Loznica
Zaječar,19000,Zaječarski okrug,Opština Zaječar
Zaplanjska Toponica,18244,Nišavski okrug,Opština Gadžin Han
Zasavica,22201,Sremski okrug,Opština Sremska Mitrovica
Zvezdan,19227,Zaječarski okrug,Opština Zaječar
Zvečan,38227,Kosovskomitrovački okrug,Opština Zvečan
Zvonce,18333,Pirotski okrug,Opština Babušnica
Zdravinje,37203,Rasinski okrug,Opština Kruševac
Zlatibor,31315,Zlatiborski okrug,Opština Čajetina
Zlatica,23255,Srednjobanatski okrug,Opština Zrenjanin
Zlodol,31253,Zlatiborski okrug,Opština Bajina Bašta
Zlot,19215,Borski okrug,Opština Bor
Zmajevo,21213,Južnobački okrug,Opština Vrbas
Zminjak,15352,Mačvanski okrug,Opština Šabac
Zrenjanin,23000,Srednjobanatski okrug,Opština Zrenjanin
Zubin Potok,38228,Kosovskomitrovački okrug,Opština Zubin Potok
Zuce,11225,Grad Beograd,Opština Voždovac
Ivanovo,26233,Južnobanatski okrug,Opština Pančevo
Ivanjica,32250,Moravički okrug,Opština Ivanjica
Idvor,26207,Južnobanatski okrug,Opština Kovačica
Iđoš,23323,Severnobanatski okrug,Opština Kikinda
Izbište,26343,Južnobanatski okrug,Opština Vršac
Ilandža,26352,Južnobanatski okrug,Opština Alibunar
Ilinci,22250,Sremski okrug,Opština Šid
Ilićevo,34203,Šumadijski okrug,Opština Kragujevac
Inđija,22320,Sremski okrug,Opština Inđija
Irig,22406,Sremski okrug,Opština Irig
Jabuka,26201,Južnobanatski okrug,Opština Pančevo
Jabuka,31306,Zlatiborski okrug,Opština Prijepolje
Jabukovac,19304,Borski okrug,Opština Negotin
Jabučje,14226,Kolubarski okrug,Opština Lajkovac
Jagnjilo,11412,Grad Beograd,Opština Mladenovac
Jagodina,35000,Pomoravski okrug,Opština Jagodina
Jadranska Lešnica,15308,Mačvanski okrug,Opština Loznica
Jazak,22409,Sremski okrug,Opština Irig
Jazovo,23327,Severnobanatski okrug,Opština Čoka
Jamena,22248,Sremski okrug,Opština Šid
Jankov Most,23201,Srednjobanatski okrug,Opština Zrenjanin
Janošik,26362,Južnobanatski okrug,Opština Alibunar
Jarak,22426,Sremski okrug,Opština Sremska Mitrovica
Jarkovac,23250,Srednjobanatski okrug,Opština Sečanj
Jarmenovci,34318,Šumadijski okrug,Opština Topola
Jasenovo,26346,Južnobanatski okrug,Opština Bela Crkva
Jasenovo,31319,Zlatiborski okrug,Opština Nova Varoš
Jasenovo,35241,Pomoravski okrug,Opština Despotovac
Jasika,37252,Rasinski okrug,Opština Kruševac
Jasikovica,37247,Rasinski okrug,Opština Trstenik
Jasikovo,19256,Borski okrug,Opština Majdanpek
Jaša Tomić,23230,Srednjobanatski okrug,Opština Sečanj
Ježevica,31213,Zlatiborski okrug,Opština Požega
Ježevica,32222,Moravički okrug,Opština Čačak
Jelašnica,17531,Pčinjski okrug,Opština Surdulica
Jelašnica,18206,Nišavski okrug,Opština Niška Banja
Jelen Do,31215,Zlatiborski okrug,Opština Požega
Jelovik,34309,Šumadijski okrug,Opština Aranđelovac
Jermenovci,26363,Južnobanatski okrug,Opština Plandište
Jovanovac,18258,Toplički okrug,Opština Merošina
Jovanovac,34211,Šumadijski okrug,Opština Kragujevac
Jovac,35205,Pomoravski okrug,Opština Ćuprija
Jošanica,18234,Zaječarski okrug,Opština Sokobanja
Jošanička Banja,36345,Raški okrug,Opština Raška
Jugbogdanovac,18253,Nišavski okrug,Opština Merošina
Junkovac,11562,Grad Beograd,Opština Lazarevac
Kalna,19353,Zaječarski okrug,Opština Knjaževac
Kaluđerica,11130,Grad Beograd,Opština Grocka
Kamenica,14252,Kolubarski okrug,Opština Valjevo
Kamenica,15222,Mačvanski okrug,Opština Koceljeva
Kamenica,18324,Pirotski okrug,Opština Dimitrovgrad
Kanjiža,24420,Severnobanatski okrug,Opština Kanjiža
Kaona,32234,Moravički okrug,Opština Lučani
Kaonik,37256,Rasinski okrug,Opština Kruševac
Karavukovo,25255,Zapadnobački okrug,Opština Odžaci
Karađorđevo,21421,Južnobački okrug,Opština Bačka Palanka
Karađorđevo,24308,Severnobački okrug,Opština Bačka Topola
Karan,31204,Zlatiborski okrug,Opština Užice
Karlovčić,22443,Sremski okrug,Opština Pećinci
Katun,18225,Nišavski okrug,Opština Aleksinac
Kać,21241,Južnobački okrug,Opština Novi Sad
Kačarevo,26212,Južnobanatski okrug,Opština Pančevo
Kevi,24407,Severnobanatski okrug,Opština Senta
Kelebija,24104,Severnobački okrug,Opština Subotica
Kelebija gran. prelaz,24205,Severnobački okrug,Opština Subotica
